ENV-0490	ENV	ENV-29	空氣品質嚴重惡化警告發布及緊急防制辦法	第2條	民國115年3月18日	空品惡化-警告等級	1	空氣品質惡化警告依污染程度區分為幾類別幾等級？各類別之等級細分為何？	預警（初級、中級）及嚴重惡化（輕度、中度、重度）二類別五等級	預警（初級、中級、高級）及嚴重惡化（輕度、重度）二類別五等級	預警（初級）及嚴重惡化（輕度、中度、重度、極重度）二類別五等級	預警（輕度、中度）及嚴重惡化（初級、中級、重度）二類別五等級	Air quality deterioration warnings are divided into how many categories and levels, and how are they subdivided?	Alert (primary, intermediate) and severe deterioration (mild, moderate, heavy): two categories, five levels	Alert (primary, intermediate, advanced) and severe deterioration (mild, heavy): two categories, five levels	Alert (primary only) and severe deterioration (mild, moderate, heavy, extreme): two categories, five levels	Alert (mild, moderate) and severe deterioration (primary, intermediate, heavy): two categories, five levels	a	第2條：空氣品質惡化警告等級依污染程度區分為預警（細分初級、中級）及嚴重惡化（細分輕度、中度或重度）二類別五等級，依懸浮微粒、細懸浮微粒、二氧化硫、二氧化氮、一氧化碳及臭氧之濃度條件依附件一判定。所稱空氣品質嚴重惡化，包含任一空氣污染物濃度達附件一所定輕度、中度或重度嚴重惡化等級者。	Article 2 sets two categories and five levels, judged against the pollutant concentrations in Annex 1.	draft	9		
ENV-0537	ENV	ENV-32	固定污染源設置操作及燃料使用許可證管理辦法	第31條	民國108年9月26日	固污許可-審查期限	3	審核機關受理許可證申請之形式審查及實質審查期限各為何？	形式審查自收件日起七日內完成並通知七日內繳費；實質審查自完成繳費翌日起三十五日內完成並通知結果	形式審查自收件日起十日內完成並通知七日內繳費；實質審查自受理申請之日起四十五日內完成並通知結果	形式審查自收件日起三日內完成並通知三日內繳費；實質審查自完成繳費翌日起二十日內完成並通知結果	形式審查自收件日起十四日內完成並通知十五日內繳費；實質審查自完成繳費翌日起六十日內完成並通知結果	What are the formal and substantive review deadlines for permit applications?	Formal review within 7 days of receipt with 7 days to pay fees; substantive review within 35 days after payment	Formal review within 10 days of receipt with 7 days to pay fees; substantive review within 45 days of acceptance	Formal review within 3 days of receipt with 3 days to pay fees; substantive review within 20 days after payment	Formal review within 14 days of receipt with 15 days to pay fees; substantive review within 60 days after payment	a	第31條：形式審查應於收到網路申請及書面資料後七日內完成，並通知公私場所於七日內繳納審查費；實質審查應自完成繳費翌日起三十五日內完成審查、諮詢及通知結果。必要時得延長實質審查十五日；第一類固定污染源設置、操作許可證得延長三十日；符合第14條或第15條之設置許可證申請得延長四十五日。	Article 31.	draft	9		
ENV-0551	ENV	ENV-32	固定污染源設置操作及燃料使用許可證管理辦法	第45條	民國108年9月26日	固污許可-補正期限	3	審核機關通知限期補正之總補正次數及總補正日數規定為何？	總補正次數並無限制；形式資料欠缺或未繳費不得超過十日，設置、操作及燃料文件不合規定不得超過四十五日，展延文件不得超過二十日	總補正次數以二次為限；形式資料欠缺或未繳費不得超過七日，設置、操作及燃料文件不合規定不得超過六十日，展延文件不合規定不得超過十四日	總補正次數以五次為限；形式資料欠缺或未繳費不得超過三十日，設置、操作及燃料文件不合規定不得超過一百二十日，展延文件不得超過六十日	總補正次數以三次為限；形式資料欠缺或未繳費不得超過十四日，設置、操作及燃料文件不合規定不得超過九十日，展延文件不合規定不得超過三十日	How many rounds of supplementation are allowed and what are the total day limits?	No limit on rounds; 10 days for missing formal documents or unpaid fees, 45 days for non-conforming installation, operation and fuel documents, 20 days for renewal documents	Up to two rounds; 7 days for missing formal documents or unpaid fees, 60 days for non-conforming installation, operation and fuel documents, 14 days for renewal documents	Up to five rounds; 30 days for missing formal documents or unpaid fees, 120 days for non-conforming installation, operation and fuel documents, 60 days for renewal documents	Up to three rounds; 14 days for missing formal documents or unpaid fees, 90 days for non-conforming installation, operation and fuel documents, 30 days for renewal documents	d	第45條：屆期未補正或超過總補正日數者應駁回申請；屬第36條第3款至第6款者，期限內補正仍不合規定得再通知限期補正，總補正次數以三次為限。總補正日數：第36條第1款或第2款不得超過十四日、第3款至第5款不得超過九十日、第6款不得超過三十日；補正日數不算入審查期間。	Article 45.	draft	9		
ENV-0535	ENV	ENV-32	固定污染源設置操作及燃料使用許可證管理辦法	第29條	民國108年9月26日	固污許可-換發補發	2	許可證於有效期間內因毀損、滅失或基本資料改變者，應於幾日內申請換發或補發？審核機關應於幾日內完成審查及製證？	應於事實發生後十五日內申請；審核機關應於三十日內完成審查及證書製作，並通知三十日內繳費領證	應於事實發生後九十日內申請；審核機關應於二十日內完成審查及證書製作，並通知十日內繳費領證	應於事實發生後三十日內申請；審核機關應於七日內完成審查及證書製作，並通知七日內繳費領證	應於事實發生後六十日內申請；審核機關應於十四日內完成審查及證書製作，並通知十四日內繳費領證	Within how long must a damaged, lost or changed permit be re-issued, and how fast must the authority act?	Apply within 15 days of the event; the authority completes review and issuance within 30 days and gives 30 days to pay and collect	Apply within 90 days of the event; the authority completes review and issuance within 20 days and gives 10 days to pay and collect	Apply within 30 days of the event; the authority completes review and issuance within 7 days and gives 7 days to pay and collect	Apply within 60 days of the event; the authority completes review and issuance within 14 days and gives 14 days to pay and collect	d	第29條：許可證於有效期間內因毀損、滅失或所載基本資料改變者，得於事實發生後六十日內檢具證明文件申請換發或補發；逾期經通知者應於通知翌日起十日內申請。審核機關應於十四日內完成審查及證書製作，並通知審查符合規定者於十四日內繳納證書費及領取許可證。	Article 29.	draft	9		
ENV-0527	ENV	ENV-32	固定污染源設置操作及燃料使用許可證管理辦法	第21條	民國108年9月26日	固污許可-紀錄申報	2	操作許可證所載監測、檢測、操作及維修紀錄應保存幾年？領有燃料使用許可證者應於何時申報前季燃料使用量？	應保存五年備查；應於每年二月、五月、八月及十一月底前申報前季燃料使用量	應保存十年備查；應於每年一月及七月底前申報前半年之燃料使用量	應保存六年備查；應於每年一月、四月、七月及十月底前申報前季燃料使用量	應保存三年備查；應於每年三月、六月、九月及十二月底前申報前季燃料使用量	How long must operating permit records be kept, and when is quarterly fuel use reported?	Kept five years; reported by the end of February, May, August and November each year	Kept ten years; reported by the end of January and July each year for the prior half-year	Kept six years; reported by the end of January, April, July and October each year	Kept three years; reported by the end of March, June, September and December each year	c	第21條：操作許可證所列監測、定期檢測、紀錄、申報及操作與維修紀錄，應保存六年備查，並應建立電子化紀錄，未能電子化者經主管機關同意得以紙本代之。第26條：領有燃料使用許可證者，應依電子網路傳輸方式，於每年一月、四月、七月及十月底前，向直轄市、縣（市）主管機關申報前季燃料之使用量。	Articles 21 and 26.	draft	9		
ENV-0571	ENV	ENV-33	空氣污染防制費收費辦法	第2條	民國111年3月24日	空污費-申報期限	2	依油燃料種類成分數量徵收之空污費應於何時申報繳納？依排放空氣污染物種類數量徵收者應於何時申報？	銷售者或進口者於每月月底前申報前月份；固定污染源於每年三月、六月、九月及十二月底前申報前季	銷售者或進口者於每月五日前申報前月份；固定污染源於每年二月、五月、八月及十一月底前申報前季	銷售者或進口者於每月十五日前申報前月份；固定污染源於每年四月、七月、十月及次年一月底前申報前季	銷售者或進口者於每季十五日前申報前季；固定污染源於每年一月及七月底前申報前半年之排放量	When are fuel-based and emission-based air pollution control fees reported?	Sellers or importers by the end of each month for the prior month; stationary sources by end of March, June, September and December for the prior quarter	Sellers or importers by the 5th of each month for the prior month; stationary sources by end of February, May, August and November for the prior quarter	Sellers or importers by the 15th of each month for the prior month; stationary sources by end of April, July, October and next January for the prior quarter	Sellers or importers by the 15th of each quarter for the prior quarter; stationary sources by end of January and July for the prior half-year	c	第2條：依銷售數量或油燃料種類成分與數量徵收者，銷售者或進口者應於每月十五日前填具申報書及繳款單，自行繳納後以網路傳輸向中央主管機關申報前月份費額。第3條：依排放空氣污染物種類及數量徵收者，固定污染源之所有人、實際使用人或管理人應於每年四月、七月、十月及次年一月底前申報並繳納前季費額。	Articles 2 and 3.	draft	9		
ENV-0572	ENV	ENV-33	空氣污染防制費收費辦法	第3條	民國111年3月24日	空污費-小量年申報	3	固定污染源當年度各季排放量甚小者，得如何調整申報方式？其後任一季超過門檻應如何處理？	經核定各季個別污染物排放量皆在零點五公噸以下者，得免予申報及繳納；任一季超過零點五公噸應改為按月申報	經核定各季個別污染物排放量皆在一公噸以下者，得調整為每年一月底前一次申報繳納；任一季超過一公噸應即恢復按季申報	經核定各季個別污染物排放量皆在十公噸以下者，得調整為每年七月底前一次申報繳納；任一季超過十公噸應即恢復按季申報	經核定各季個別污染物排放量皆在五公噸以下者，得調整為每半年申報繳納一次；任一季超過五公噸應即改為按月申報	How may small emitters adjust their reporting, and what if a quarter exceeds the threshold?	If each quarter's individual pollutant emissions are approved at 0.5 tonne or less, reporting is waived; exceeding 0.5 tonne in any quarter switches to monthly reporting	If each quarter's individual pollutant emissions are approved at 1 tonne or less, report once yearly by end of January; exceeding 1 tonne in any quarter restores quarterly reporting	If each quarter's individual pollutant emissions are approved at 10 tonnes or less, report once yearly by end of July; exceeding 10 tonnes in any quarter restores quarterly reporting	If each quarter's individual pollutant emissions are approved at 5 tonnes or less, report once every half year; exceeding 5 tonnes in any quarter switches to monthly reporting	b	第3條第3項：公私場所固定污染源當年度各季排放之空氣污染物，經中央主管機關核定其個別污染物種類排放量皆於一公噸以下者，得於次年一月底前報經中央主管機關同意，調整為每年一月底前將前一年各季排放量與費額一次申報及繳納。第4項：其個別污染物排放量任一季超過一公噸者，應即依第1項規定按季申報、繳費。	Article 3, paragraphs 3 and 4.	draft	9		
ENV-0575	ENV	ENV-33	空氣污染防制費收費辦法	第6條	民國111年3月24日	空污費-營建繳納	2	營建工程空氣污染防制費之繳納期限規定為何？	費額一萬元以下應於開工前全額繳納；超過一萬元未滿五百萬元得先繳二分之一；五百萬元以上得於工程期間分期平均繳納	費額十萬元以下應於開工前全額繳納；超過十萬元未滿三百萬元得先繳四分之一；三百萬元以上得於工程期間分期平均繳納	費額一千元以下應於開工前全額繳納；超過一千元未滿一百萬元得先繳二分之一；一百萬元以上得於工程期間分期平均繳納	費額五萬元以下應於開工前全額繳納；超過五萬元未滿一千萬元得先繳三分之一；一千萬元以上得於工程期間分期平均繳納	What are the payment deadlines for construction project air pollution fees?	Under NT$10,000 paid in full before starting work; over NT$10,000 but under NT$5 million may pay half first; NT$5 million or more may pay in equal installments during construction	Under NT$100,000 paid in full before starting work; over NT$100,000 but under NT$3 million may pay one quarter first; NT$3 million or more may pay in equal installments during construction	Under NT$1,000 paid in full before starting work; over NT$1,000 but under NT$1 million may pay half first; NT$1 million or more may pay in equal installments during construction	Under NT$50,000 paid in full before starting work; over NT$50,000 but under NT$10 million may pay one third first; NT$10 million or more may pay in equal installments during construction	a	第6條：依法不須申請開工、使用執照、工程驗收或費額為一萬元以下者，應於開工前全額繳納；超過一萬元未滿五百萬元者，得於開工前全額繳納，或申請開工前先繳二分之一，於申請使用執照或工程驗收前繳納剩餘費額；五百萬元以上者，得於開工前全額繳納或於工程期間分期平均繳納。第21條：每件營建工程核算應繳費額一百元以下者免繳納。	Article 6.	draft	9		
ENV-0574	ENV	ENV-33	空氣污染防制費收費辦法	第5條	民國111年3月24日	空污費-工期起算	3	營建業主未依規定申報而經查獲已施工，且依法不須取得執照或許可者，其工期起算日如何推算？	地上層工程每層最多以六十日計算；地下層工程每層最多以九十日計算；開挖整地等雜項工程最多以一百二十日計算	地上層工程每層最多以三十日計算；地下層工程每層最多以六十日計算；開挖整地等雜項工程最多以九十日計算	地上層工程每層最多以九十日計算；地下層工程每層最多以一百二十日計算；開挖整地等雜項工程最多以一百八十日計算	地上層工程每層最多以一百二十日計算；地下層工程每層最多以九十日計算；開挖整地等雜項工程最多以三百六十日計算	How is the construction start date back-calculated when no license is legally required?	At most 60 days per above-ground floor; at most 90 days per below-ground floor; at most 120 days for excavation and other miscellaneous works	At most 30 days per above-ground floor; at most 60 days per below-ground floor; at most 90 days for excavation and other miscellaneous works	At most 90 days per above-ground floor; at most 120 days per below-ground floor; at most 180 days for excavation and other miscellaneous works	At most 120 days per above-ground floor; at most 90 days per below-ground floor; at most 360 days for excavation and other miscellaneous works	c	第5條第3項第2款：依法不須取得執照或許可者，自地方主管機關查獲之日起往前推算工期起算日，地上層工程每層最多以九十日計算、地下層工程每層最多以一百二十日計算、建築法規定之開挖整地、倉庫、煙囪或圍牆等雜項工程最多以一百八十日計算。屬須取得執照者，原則以核准開工日期認定。	Article 5, paragraph 3, subparagraph 2.	draft	9		
ENV-0580	ENV	ENV-33	空氣污染防制費收費辦法	第11條	民國111年3月24日	空污費-查核差異	3	以檢測結果計算排放量之固定污染源，其檢測結果與申報數值差異達多少應重新核算？以質量平衡計量方式者，原（物）料成分檢測查核差異達多少應重新核算？	檢測結果換算單位活動強度排放量與申報值差異達百分之十以上；質量平衡之成分檢測查核差異達百分之二十以上	檢測結果換算單位活動強度排放量與申報值差異達百分之三十以上；質量平衡之成分檢測查核差異達百分之十五以上	檢測結果換算單位活動強度排放量與申報值差異達百分之二十以上；質量平衡之成分檢測查核差異達百分之十以上	檢測結果換算單位活動強度排放量與申報值差異達百分之五以上；質量平衡之成分檢測查核差異達百分之二十五以上	What discrepancy triggers recalculation for test-based and for mass-balance-based emission reporting?	Test results per unit activity differing from the declared value by 10 percent or more; mass balance composition testing differing by 20 percent or more	Test results per unit activity differing from the declared value by 30 percent or more; mass balance composition testing differing by 15 percent or more	Test results per unit activity differing from the declared value by 20 percent or more; mass balance composition testing differing by 10 percent or more	Test results per unit activity differing from the declared value by 5 percent or more; mass balance composition testing differing by 25 percent or more	c	第11條：中央主管機關檢測結果換算單位活動強度之排放量，與公私場所申報數值差異達百分之二十以上者，應以查驗結果重新核算排放量並核定費額。第12條：以質量平衡計量方式計算者，其原（物）料中揮發性有機物成分含量重量百分比之檢測查核結果與申報結果差異達百分之十以上者，應重新核算排放量。	Articles 11 and 12.	draft	9		
ENV-0583	ENV	ENV-33	空氣污染防制費收費辦法	第13條	民國111年3月24日	空污費-改採質量平衡	3	公私場所以排放係數計算揮發性有機物排放量者，於何種情形應改以質量平衡計量方式計算？自何時起適用？	申報季排放量與中央主管機關查核結果差異達一點五倍以上及五公噸以上；自收到通知文件之當季起改以排放係數方式計算	申報季排放量與中央主管機關查核結果差異達三倍以上及十公噸以上；自收到通知文件之次年起改以質量平衡計量方式計算	申報季排放量與中央主管機關查核結果差異達二倍以上及七點五公噸以上；自收到通知文件之次季起改以質量平衡計量方式計算	申報季排放量與中央主管機關查核結果差異達五倍以上及二十公噸以上；自收到通知文件之次月起改以連續監測方式計算	When must an emission-factor reporter switch to mass balance, and from when?	When the declared quarterly emissions differ from the audit result by 1.5 times or more and 5 tonnes or more; from the same quarter, using emission factors	When the declared quarterly emissions differ from the audit result by three times or more and 10 tonnes or more; from the year after the notice is received	When the declared quarterly emissions differ from the audit result by two times or more and 7.5 tonnes or more; from the quarter after the notice is received	When the declared quarterly emissions differ from the audit result by five times or more and 20 tonnes or more; from the month after, using continuous monitoring	c	第13條：公私場所選擇以排放係數計算揮發性有機物排放量者，其申報季排放量與中央主管機關查核結果差異達二倍以上及七．五公噸以上時，應於收到中央主管機關通知文件之次季起，以質量平衡計量方式計算該固定污染源之排放量。第10條並定有排放量計算依據之優先順序。	Article 13.	draft	9		
ENV-0584	ENV	ENV-33	空氣污染防制費收費辦法	第14條	民國111年3月24日	空污費-結算補繳	2	公私場所申報空污費經審查結算不足者應如何處理？溢繳未達一定金額者如何處理？申報及紀錄資料應保存幾年？	結算不足者加徵差額並限期三十日內繳納；溢繳未達一千元者充作其後應繳費額之一部分；相關資料應保存三年備查	結算不足者加徵差額並限期六十日內繳納；溢繳未達五千元者充作其後應繳費額之一部分；相關資料應保存五年備查	結算不足者加徵差額並限期九十日內繳納；溢繳未達二千元者充作其後應繳費額之一部分；相關資料應保存六年備查	結算不足者加徵差額並限期一百八十日內繳納；溢繳金額一律無息退還申請人；相關資料應保存十年備查	How is a shortfall handled, how is a small overpayment treated, and how long are records kept?	Shortfall surcharged and payable within 30 days; overpayments under NT$1,000 credited against future fees; records kept three years	Shortfall surcharged and payable within 60 days; overpayments under NT$5,000 credited against future fees; records kept five years	Shortfall surcharged and payable within 90 days; overpayments under NT$2,000 credited against future fees; records kept six years	Shortfall surcharged and payable within 180 days; all overpayments refunded without interest; records kept ten years	c	第14條：各級主管機關應審查核算並通知結果，結算不足者加徵差額並限期於九十日內繳納，屆期未繳清者依空污法第74條辦理；溢繳者充作其後應繳費額之一部分或依申請退還，溢繳未達二千元者應充作其後費額（營建工程除外）。第26條：申報資料、繳費收據、相關紀錄及證明資料應保存六年備查。	Articles 14 and 26.	draft	9		
ENV-0589	ENV	ENV-33	空氣污染防制費收費辦法	第21條	民國111年3月24日	空污費-免繳免申報	3	公私場所固定污染源當季何種情形得免申報該項空污費？每件營建工程核算應繳費額多少以下得免繳納？	當季總硫氧化物、總氮氧化物、總揮發性有機物或總粒狀污染物排放量十公斤以下者得免申報；營建工程費額一百元以下者免繳	當季總硫氧化物、總氮氧化物、總揮發性有機物或總粒狀污染物排放量一公斤以下者得免申報；營建工程費額五十元以下者免繳	當季總硫氧化物、總氮氧化物、總揮發性有機物或總粒狀污染物排放量五十公斤以下者得免申報；營建工程費額五百元以下者免繳	當季總硫氧化物、總氮氧化物、總揮發性有機物或總粒狀污染物排放量一百公斤以下者得免申報；營建工程費額一千元以下者免繳	What quarterly emission level exempts a source from reporting, and what construction fee amount is exempt from payment?	Quarterly total SOx, NOx, VOC or particulates of 10 kg or less exempts reporting; construction fees of NT$100 or less are exempt from payment	Quarterly total SOx, NOx, VOC or particulates of 1 kg or less exempts reporting; construction fees of NT$50 or less are exempt from payment	Quarterly total SOx, NOx, VOC or particulates of 50 kg or less exempts reporting; construction fees of NT$500 or less are exempt from payment	Quarterly total SOx, NOx, VOC or particulates of 100 kg or less exempts reporting; construction fees of NT$1,000 or less are exempt from payment	a	第21條：符合免繳納各款規定者仍應申報，但公私場所固定污染源當季之總硫氧化物、總氮氧化物、總揮發性有機物或總粒狀污染物排放量十公斤以下者，得免申報該項空污費；每件營建工程核算應繳費額一百元以下者得免繳納。經查核個別污染物總排放量超過十公斤者，應令其自次一季起依第3條第1項申報。	Article 21.	draft	9		
ENV-0597	ENV	ENV-34	揮發性有機物空氣污染管制及排放標準	第2條	民國112年12月4日	VOC-定義	2	揮發性有機物、揮發性有機液體及洩漏定義值之定義為何？	一大氣壓下初始沸點攝氏一百度以下之有機化合物；VOC 占重量百分比五以上之液體；淨檢測值五百 ppm 以上，氣體釋壓裝置為五十 ppm	一大氣壓下初始沸點攝氏二百五十度以下之有機化合物；VOC 占重量百分比十以上之液體；淨檢測值一千 ppm 以上，氣體釋壓裝置為一百 ppm	一大氣壓下初始沸點攝氏三百度以下之有機化合物；VOC 占重量百分比二十以上之液體；淨檢測值二千 ppm 以上，氣體釋壓裝置為二百 ppm	一大氣壓下初始沸點攝氏一百五十度以下之有機化合物；VOC 占重量百分比十五以上之液體；淨檢測值一萬 ppm 以上，氣體釋壓裝置為一千 ppm	How are VOC, volatile organic liquid, and the leak definition value defined?	Organic compounds with initial boiling point at or below 100 degrees C at one atmosphere; liquids with 5 percent VOC by weight or more; net reading of 500 ppm, or 50 ppm for gas pressure relief devices	Organic compounds with initial boiling point at or below 250 degrees C at one atmosphere; liquids with 10 percent VOC by weight or more; net reading of 1,000 ppm, or 100 ppm for gas pressure relief devices	Organic compounds with initial boiling point at or below 300 degrees C at one atmosphere; liquids with 20 percent VOC by weight or more; net reading of 2,000 ppm, or 200 ppm for gas pressure relief devices	Organic compounds with initial boiling point at or below 150 degrees C at one atmosphere; liquids with 15 percent VOC by weight or more; net reading of 10,000 ppm, or 1,000 ppm for gas pressure relief devices	b	第2條：揮發性有機物指一大氣壓下測量所得初始沸點在攝氏二百五十度以下有機化合物之空氣污染物總稱，但不包括甲烷、一氧化碳、二氧化碳等；揮發性有機液體指 VOC 成分占其重量百分比十以上之液體；洩漏定義值指設備元件之淨檢測值一千 ppm 以上，但氣體釋壓裝置之淨檢測值為一百 ppm。淨檢測值指初檢測值減背景濃度值。	Article 2, subparagraphs 1, 3 and 50.	draft	9		
