ENV-1537	ENV	ENV-208	既存固定污染源污染物排放量認可準則	第1條	民國100年6月24日	既存排放量認可-法源	1	既存固定污染源污染物排放量認可準則係依據哪一條文授權訂定？	依空氣污染防制法第八條第五項規定訂定之	依空氣污染防制法第六條第四項規定訂定之	依空氣污染防制法第十二條第三項規定訂定之	依空氣污染防制法第二十一條第二項規定訂定之	Under which provision are the Regulations for Recognition of Pollutant Emissions from Existing Stationary Sources adopted?	Adopted under Article 8, Paragraph 5 of the Air Pollution Control Act	Adopted under Article 6, Paragraph 4 of the Air Pollution Control Act	Adopted under Article 12, Paragraph 3 of the Air Pollution Control Act	Adopted under Article 21, Paragraph 2 of the Air Pollution Control Act	a	第1條：本準則依空氣污染防制法第八條第五項規定訂定。空污法第八條規範總量管制區內固定污染源排放量之認可與交易，第十二條則為分期分區公告實施總量管制之依據，兩者搭配適用。	Article 1: adopted under Article 8(5) of the Air Pollution Control Act.	draft	14		
ENV-4149	ENV	ENV-218	環境用藥分裝調配及委託製造作業準則	第4條	民國95年7月21日	環境用藥-分裝	2	申請分裝環境用藥，對分裝工廠及內容量有何要求？	分裝工廠須具有任一劑型設備；內容量得由分裝廠依市場需求自行調整	分裝工廠僅須領有工廠登記證；內容量應報請地方主管機關核備後為之	分裝工廠須具有同一劑型設備；內容量應符合該許可證已登記之內容量	分裝工廠須為原製造廠之關係企業；內容量不得超過原登記量之二分之一	What is required of the repackaging plant and of the fill volume?	The plant may have any dosage form equipment; the filler may set volumes as the market needs	The plant only needs a factory registration; the fill volume is filed with the local authority	The plant must have same-dosage-form equipment; the fill must match the registered content	The plant must be an affiliate of the maker; the fill may not exceed half the registered volume	c	第4條：申請分裝環境用藥，其分裝工廠以具有同一劑型設備之環境用藥工廠始得為之；其分裝內容量應符合該環境用藥許可證已登記之內容量。	Article 4.	draft	14		
ENV-4150	ENV	ENV-218	環境用藥分裝調配及委託製造作業準則	第5條	民國95年7月21日	環境用藥-分裝文件	2	申請分裝環境用藥，應向中央主管機關檢具之文件為何？	申請表、原製造廠之品質保證書、分裝工廠營利事業登記證及分裝人員名冊資料	申請表、所申請分裝之環境用藥許可證影本、分裝工廠工廠登記證正本及委託合約書	申請表、所申請分裝之環境用藥許可證正本、分裝工廠同劑型製造許可證影本及產品標示	申請表、藥效檢測報告、毒理測試報告及分裝工廠之環境檢驗測定機構許可證	What documents must accompany a repackaging application?	Application form, the maker quality warranty, a business registration, and a staff roster	Application form, a permit copy, the plant original factory registration, and the contract	Application form, the original agent permit, a same-form manufacturing permit copy, and the label	Application form, efficacy and toxicology reports, and the plant testing organisation permit	c	第5條第1項：申請分裝應檢具申請表、所申請分裝之環境用藥許可證正本、分裝工廠所持有與該許可證相同劑型之製造許可證影本，以及加註分裝工廠名稱、地址及分裝日期之產品標示。	Article 5, paragraph 1.	draft	14		
ENV-4151	ENV	ENV-218	環境用藥分裝調配及委託製造作業準則	第5條	民國95年7月21日	環境用藥-委託分裝	2	委託他人分裝環境用藥者，除一般文件外並應另檢具何種文件？	應另檢具經公證之委託合約書，並載明委託分裝之期間	應另檢具分裝工廠負責人身分證明文件及切結書	應另檢具雙方簽章之意向書，並載明分裝之數量上限	應另檢具地方主管機關核發之分裝場所現勘紀錄表	What extra document is required when repackaging is entrusted to another?	A notarised entrustment contract stating the period of entrusted repackaging	Identity papers of the plant responsible person plus a written undertaking	A signed letter of intent stating the maximum repackaging quantity allowed	An on-site inspection record of the repackaging site from the local authority	a	第5條第2項：委託他人分裝者，除依第1項規定檢具文件外，並應檢具經公證之委託合約書，合約書應載明委託分裝之期間；與第3條委託製造之合約要求一致。	Article 5, paragraph 2.	draft	14		
ENV-4152	ENV	ENV-218	環境用藥分裝調配及委託製造作業準則	第6條	民國95年7月21日	環境用藥-調配	2	環境用藥之調配，有何劑型及資格上之限制？	調配以同一劑型為限，且以持有相同劑型製造許可證者始得為之	調配不受劑型限制，但應由中央主管機關指定之工廠代為辦理	調配得跨不同劑型為之，但須持有其中任一劑型之製造許可證	調配以同一成分為限，且以持有販賣業許可執照者始得為之	What dosage form and eligibility limits apply to formulating agents?	Formulating is limited to one dosage form, by a holder of a permit for that same form	Formulating faces no dosage form limit but must be done by a designated plant	Formulating may cross dosage forms if a permit for any one of the forms is held	Formulating is limited to one ingredient, and only vending licence holders may do it	a	第6條：環境用藥之調配以同一劑型為限，且以持有相同劑型之環境用藥製造許可證者始得為之。第7條並定應逐批向中央主管機關提出申請。	Article 6.	draft	14		
ENV-4153	ENV	ENV-218	環境用藥分裝調配及委託製造作業準則	第7條	民國95年7月21日	環境用藥-調配申請	3	環境用藥之調配應由何人、以何種頻率向中央主管機關提出申請？	應由環境用藥製造業檢具文件，逐批向中央主管機關提出申請	應由委託調配之申請人檢具文件，於調配完成後報請中央機關備查	應由環境用藥販賣業檢具文件，逐年向中央主管機關提出申請	應由環境用藥製造業檢具文件，每半年向地方主管機關申請一次	Who applies for formulating, and how often?	The agent manufacturer files with the central authority for each individual batch	The client files with the central authority for record after formulating is done	The agent vendor files with the central authority once for each calendar year	The agent manufacturer files with the local authority once every six months	a	第7條第1項：環境用藥之調配，應由環境用藥製造業檢具申請表、相同劑型之製造許可證影本，以及調配數量與調配後之化學性及物理性資料、有效成分分析、毒性、藥效檢測報告及產品標示，逐批向中央主管機關提出申請。	Article 7, paragraph 1: batch by batch.	draft	14		
ENV-4154	ENV	ENV-218	環境用藥分裝調配及委託製造作業準則	第7條	民國95年7月21日	環境用藥-調配準用	3	調配申請所附之有效成分分析、毒性、藥效檢測及產品標示，準用何規定？	準用環境用藥許可證申請核發作業準則第十九條至第二十四條規定	準用環境用藥標示準則第二條至第七條有關標示項目之規定	準用環境用藥許可證申請核發作業準則第十條至第十五條之規定	準用環境用藥工廠設廠標準中有關檢驗設備配置之相關規定	Which rules apply by analogy to the tests and label filed for formulating?	Articles 19 to 24 of the environmental agent permit application regulations	Articles 2 to 7 of the environmental agent labelling regulations on label items	Articles 10 to 15 of the environmental agent permit application regulations	The environmental agent plant standards on the layout of testing equipment	c	第7條第2項：第1項第3款有效成分分析檢測、毒性檢測、藥效（效力）檢測、產品標示，準用環境用藥許可證申請核發作業準則第十條至第十五條之規定。	Article 7, paragraph 2.	draft	14		
ENV-4155	ENV	ENV-218	環境用藥分裝調配及委託製造作業準則	第8條	民國95年7月21日	環境用藥-審查補正	2	中央主管機關受理分裝、調配或委託製造申請，其補正期間及未繳費之處理為何？	補正期間以九十日為限，屆期未補正者退件；未繳納審查費者逕予退件	補正期間以三十日為限，屆期未補正者退件；未繳納審查費者逕予退件	補正期間以六十日為限，屆期未補正者駁回；未繳納審查費者通知補繳	補正期間以一個月為限，屆期未補正者退件；未繳費者仍先行實質審查	What correction period applies here, and what if the review fee is unpaid?	Corrections are capped at ninety days, then return; unpaid fees mean outright return	Corrections are capped at thirty days, then return; unpaid fees mean outright return	Corrections are capped at sixty days, then rejection; unpaid fees trigger a payment notice	Corrections are capped at one month, then return; review proceeds despite unpaid fees	b	第8條：檢具之證明文件、資料有欠缺或不合規定者，經通知補正，屆期未補正者予以退件，補正期間以三十日為限；未繳納審查費者，逕予退件。與許可證準則第5條之九十日補正期間不同。	Article 8: thirty days.	draft	14		
ENV-4156	ENV	ENV-218	環境用藥分裝調配及委託製造作業準則	第9條	民國95年7月21日	環境用藥-施行日期	1	環境用藥分裝調配及委託製造作業準則之施行日期為何？	自中華民國一百年十一月十五日起施行	自中華民國九十五年七月二十一日起施行	自發布日施行，未另訂特定之施行日期	自發布後六個月施行，並得溯及既往適用	When do the repackaging and contract manufacture regulations take effect?	On November 15 of the Republic of China year 100 (2011)	On July 21 of the Republic of China year 95 (2006) specifically	On the date of promulgation, with no separate effective date set	Six months after promulgation, with retroactive application	c	第9條：本準則自發布日施行；本準則修正日期為民國95年7月21日，但施行日仍以發布日為準。	Article 9.	draft	14		
ENV-4169	ENV	ENV-220	環境用藥販賣業及病媒防治業許可執照申請核發作業準則	第1條	民國113年3月11日	環境用藥-授權依據	1	環境用藥販賣業及病媒防治業許可執照申請核發作業準則之訂定依據為何？	依環境用藥管理法施行細則第十一條規定訂定	依環境用藥管理法第十條第一項規定訂定	依環境用藥管理法第二十二條第二項規定訂定	依環境用藥管理法第十一條第一項規定訂定	Under which provision are these licence regulations enacted?	Under Article 11 of the Enforcement Rules of that same Act	Under Article 10, paragraph 1 of the Environmental Agents Control Act	Under Article 22, paragraph 2 of the Environmental Agents Control Act	Under Article 11, paragraph 1 of the Environmental Agents Control Act	d	第1條：本準則依環境用藥管理法第十一條第一項規定訂定；同法第十條第一項則為環境用藥許可證申請核發作業準則之授權依據。	Article 1.	draft	14		
ENV-4170	ENV	ENV-220	環境用藥販賣業及病媒防治業許可執照申請核發作業準則	第2條	民國113年3月11日	環境用藥-執照申請	2	申請環境用藥販賣業、病媒防治業許可執照，應向何機關提出？並與何事項併同申請？	向中央主管機關提出，並併同環境用藥許可證之核發一併申請	向貯存場所所在地主管機關提出，並併同工廠登記證申請核發	向營業場所所在地主管機關提出，並併同環境用藥廣告核准申請	向營業場所所在地主管機關提出，並併同專業技術人員設置申請	With which authority is a licence application filed, and with what other filing?	With the central authority, jointly with the application for an agent permit	With the authority where the storage site is, jointly with factory registration	With the authority where the premises are, jointly with an advertising approval	With the authority where the premises are, jointly with the technical staff filing	d	第2條：申請許可執照應檢附申請表及所定文件影本、資料，併同專業技術人員設置申請，向營業場所所在地主管機關提出申請；第3條並定應進行現勘。	Article 2.	draft	14		
ENV-4171	ENV	ENV-220	環境用藥販賣業及病媒防治業許可執照申請核發作業準則	第2條	民國113年3月11日	環境用藥-執照文件	2	申請許可執照應檢附之文件，包括下列何者？	貯存場所之保險單、消防安全設備檢修申報表及鄰地所有權人同意書	營業場所之租賃契約公證書、水電費繳納證明及員工勞保投保清冊	貯存場所位置圖、土地分區使用證明書或土地登記簿謄本及建物使用執照	營業場所之營業額財務報表、稅籍登記證明及三年內無違規之切結書	Which documents must accompany a licence application?	Storage site insurance policy, fire equipment inspection filing, and neighbour consent	Notarised premises lease, utility payment records, and a labour insurance roster	Storage site location map, zoning or land registry papers, and the building use permit	Premises financial statements, tax registration, and a three-year no-violation warranty	c	第2條第3款：應檢附貯存場所位置圖、土地分區使用證明書或土地登記簿謄本及貯存場所建物使用執照（無貯存場所免附）；另包括公司或營利事業登記證、負責人身分證明、營業場所位置圖及安全防護設施或施藥器材說明書。	Article 2, subparagraph 3.	draft	14		
ENV-4172	ENV	ENV-220	環境用藥販賣業及病媒防治業許可執照申請核發作業準則	第3條	民國113年3月11日	環境用藥-現場勘查	2	地方主管機關審查許可執照申請時，關於現場勘查有何規定？	應現勘營業場所；貯存場所在不同轄區者免予勘查，改由申請人具結負責	僅須現勘貯存場所；營業場所改以書面審查申請人所送之位置圖即為已足	得視需要抽查營業場所；貯存場所在不同轄區者由中央主管機關逕行勘查	應現勘營業場所及貯存場所；貯存場所在不同轄區者應通知該地主管機關會勘	What on-site inspection is required when reviewing a licence application?	Only the premises are inspected; a cross-jurisdiction storage site needs no inspection	Only the storage site is inspected; the premises are reviewed from the submitted map	Premises may be spot-checked; a cross-jurisdiction storage site is inspected centrally	Both premises and storage site are inspected; a cross-jurisdiction site triggers joint inspection	d	第3條：地方主管機關審查第2條申請時，應進行現勘環境用藥營業場所及貯存場所；貯存場所於不同轄區者，應通知環境用藥貯存場所所在地主管機關會勘。	Article 3.	draft	14		
ENV-4173	ENV	ENV-220	環境用藥販賣業及病媒防治業許可執照申請核發作業準則	第4條	民國113年3月11日	環境用藥-執照登記	2	環境用藥販賣業、病媒防治業許可執照應登記之事項為何？	許可執照字號、公司資本額、投保責任保險金額及最近一次現勘之日期	許可執照字號、公司行號名稱地址負責人、營業場所地址、貯存場所地址及發證日期	許可執照字號、專業技術人員姓名及證書字號、營業額級距及員工人數統計	許可執照字號、營業場所建物面積、貯存藥劑品項清單及每月最高貯存量	Which items are registered on a vendor or vector control licence?	Licence number, paid-in capital, liability insurance sum, and last inspection date	Licence number, firm name address and head, premises address, storage address, issue date	Licence number, technical staff names and certificate numbers, revenue band, headcount	Licence number, premises floor area, list of stored agents, monthly storage ceiling	b	第4條第1項：許可執照應登記許可執照字號、公司行號名稱地址負責人、營業場所地址、貯存場所地址（無貯存場所免登記）、許可執照發證日期及其他經主管機關指定事項；字號規定如附表。	Article 4, paragraph 1.	draft	14		
ENV-4174	ENV	ENV-220	環境用藥販賣業及病媒防治業許可執照申請核發作業準則	第5條	民國113年3月11日	環境用藥-變更登記	2	許可執照登記事項中之公司行號名稱、營業場所地址或貯存場所地址有變更者，應如何辦理？	應檢附申請表及原許可執照正本，逕向中央主管機關辦理變更登記並換發執照	應於變更後三十日內報請中央主管機關備查，免檢附任何證明文件或資料	應重新申請許可執照，原執照於新執照核發之日起自動失其效力並繳回	應檢附申請表及第二條第一款至第四款之證明文件或資料，向主管機關辦理變更登記	How is a change of firm name, premises address or storage address handled?	File an application plus the original licence directly with the central authority for reissue	Report for record within thirty days of the change, with no supporting documents needed	Apply for a brand new licence; the old one lapses when the new licence is issued	File an application plus the Article 2, items 1 to 4 papers with the authority for amendment	d	第5條：第4條第1項第2款至第4款登記事項有變更者，應檢附申請表及第2條第1款至第4款規定之相關證明文件或資料，向主管機關辦理變更登記。	Article 5.	draft	14		
ENV-4175	ENV	ENV-220	環境用藥販賣業及病媒防治業許可執照申請核發作業準則	第6條	民國113年3月11日	環境用藥-補換發	2	許可執照遺失或毀損者，應檢具何種文件申請補（換）發？主管機關應如何處理？	檢具申請表及原許可執照殘件與報案證明；主管機關應辦理現場勘查後核發	檢具申請表及貯存場所位置圖與建物使用執照；主管機關應重新核定執照字號	檢具申請表及專業技術人員設置證明文件；主管機關應公告作廢原許可執照	檢具申請表及公司登記與負責人身分證明文件；主管機關應註明補（換）發日期	What is filed to replace a lost or damaged licence, and what must the authority do?	An application plus licence remnants and a police report; an on-site inspection follows	An application plus storage site map and building permit; a new licence number is set	An application plus technical staff appointment papers; the old licence is voided publicly	An application plus company registration and identity papers; the reissue date is noted	d	第6條：許可執照遺失或毀損者，應檢具申請表及第2條第1款、第2款規定之證照文件（公司或營利事業登記證、負責人身分證明），向主管機關申請補（換）發；補（換）發之許可執照應註明補（換）發日期。	Article 6.	draft	14		
ENV-4176	ENV	ENV-220	環境用藥販賣業及病媒防治業許可執照申請核發作業準則	第7條	民國113年3月11日	環境用藥-廢止執照	3	環境用藥販賣業或病媒防治業有何情形，主管機關得廢止其許可執照？	領得許可執照逾一年仍未營業，或停業一年以上者，得廢止其許可執照	領得許可執照逾三年仍未營業，或停業六個月以上者，得廢止許可執照	領得許可執照逾二年仍未營業，或停業二年以上者，得廢止其許可執照	領得許可執照逾二年仍未營業，或未按期申報運作紀錄者，得廢止執照	Which situations allow revocation of a vendor or vector control licence?	No business for over one year after issue, or suspension of business for over one year	No business for over three years after issue, or suspension for more than six months	No business for over two years after issue, or suspension of business for over two years	No business for over two years after issue, or failure to file operating records on time	c	第7條第4款、第5款：領得許可執照逾二年仍未營業，或停業二年以上者，主管機關得廢止其許可執照；另有歇業、實際營業場所與登記不符經限期未改善、遷離未辦變更且營業狀況不明達半年以上等事由。	Article 7, subparagraphs 4 and 5.	draft	14		
ENV-4177	ENV	ENV-220	環境用藥販賣業及病媒防治業許可執照申請核發作業準則	第7條	民國113年3月11日	環境用藥-廢止執照	2	營業場所遷離而未辦理變更登記者，須達何種狀態始得廢止其許可執照？	營業狀況不明達三個月以上者，主管機關得廢止其許可執照	經地方主管機關現勘二次未遇者，主管機關得廢止許可執照	營業狀況不明達半年以上者，主管機關得廢止其許可執照	經通知限期改善屆期未改善者，主管機關即得廢止許可執照	When does relocation without an amendment filing justify revocation?	When the business status has been unclear for three months or more	After the local authority fails to find anyone on two site inspections	When the business status has been unclear for six months or more	As soon as a correction deadline set by notice passes without action	c	第7條第3款：營業場所遷離未辦理變更登記，且營業狀況不明達半年以上者，得廢止許可執照；第2款則為實際營業場所與登記內容不符，經通知限期改善屆期未改善者。	Article 7, subparagraph 3: six months or more.	draft	14		
ENV-4178	ENV	ENV-220	環境用藥販賣業及病媒防治業許可執照申請核發作業準則	第8條	民國113年3月11日	環境用藥-停業備查	2	環境用藥販賣業或病媒防治業停業時，應於何期限內如何辦理？	應自停業日起十五日內以書面報請主管機關廢止其許可執照存查	應自停業日起十五日內檢附原許可執照向主管機關辦理備查後發還	應自停業日起七日內檢附原許可執照及專業人員名冊申請註銷	應自停業日起三十日內檢附原許可執照向中央主管機關申請核准	By when and how must a suspension of business be filed?	Within 15 days of suspension, request in writing that the licence be revoked	Within 15 days of suspension, file the original licence for record; it is then returned	Within 7 days of suspension, file the licence and a staff roster for cancellation	Within 30 days of suspension, file the original licence with the central authority	b	第8條第1項：停業時應自停業日起十五日內，檢附原許可執照向主管機關辦理備查；原許可執照於註明停業日期後發還。第10條規定歇業亦為十五日內申報廢止許可執照。	Article 8, paragraph 1: 15 days.	draft	14		
ENV-4179	ENV	ENV-220	環境用藥販賣業及病媒防治業許可執照申請核發作業準則	第8條	民國113年3月11日	環境用藥-停業效果	3	依規定報備停業者，自報備停業之日起可免除本法之何種義務？	免除本法第二十四條義務；停業一年以上者並免除第十九條、第二十二條義務	免除本法所定全部義務；惟仍應按季向主管機關申報營業狀況及庫存數量	免除本法第十九條、第二十二條義務；停業三個月以上者並免除第二十四條義務	免除本法第二十二條、第二十四條義務；停業六個月以上者並免除第十九條義務	Which statutory duties are lifted from the date a suspension is filed?	Article 24 duties are lifted; over one year of suspension also lifts Articles 19 and 22	All duties under the Act are lifted, but quarterly status and stock filings continue	Articles 19 and 22 duties are lifted; over three months of suspension also lifts Article 24	Articles 22 and 24 duties are lifted; over six months of suspension also lifts Article 19	d	第8條第2項：依規定辦理停業備查者，自報備停業之日起，免除本法第二十二條、第二十四條規定之義務；停業六個月以上者，並免除本法第十九條規定之義務。	Article 8, paragraph 2.	draft	14		
ENV-4180	ENV	ENV-220	環境用藥販賣業及病媒防治業許可執照申請核發作業準則	第9條	民國113年3月11日	環境用藥-復業	2	環境用藥販賣業或病媒防治業復業時，應如何辦理？	檢附原許可執照及最近一年營業額證明，向主管機關報請備查後即可復業	檢附原許可執照併同專業人員設置申請向主管機關申請，並註明復業日期後發還	檢附復業計畫書及貯存場所現勘紀錄向主管機關申請，經核准後始得復業	檢附原許可執照向中央主管機關申請換發新執照，並重新核定許可執照字號	How does a suspended vendor or vector control business resume operations?	File the original licence and last year revenue proof for record, then resume at once	File the original licence with the technical staff filing; the resumption date is noted on it	File a resumption plan and a storage site inspection record for prior approval	File the original licence with the central authority for a new licence and a new number	b	第9條：復業時應檢附原許可執照併同專業人員設置申請（未變更者免附），向主管機關申請；主管機關應於原許可執照上註明復業日期後發還。	Article 9.	draft	14		
ENV-4181	ENV	ENV-220	環境用藥販賣業及病媒防治業許可執照申請核發作業準則	第10條	民國113年3月11日	環境用藥-歇業	1	環境用藥販賣業或病媒防治業歇業時，應於何期限內辦理何事項？	應於歇業日起十五日內，向主管機關申報廢止其許可執照	應於歇業日起七日內，向主管機關報備並公告週知其歇業	應於歇業日起十五日內，向中央主管機關申請註銷許可證	應於歇業日起三十日內，向主管機關申報停業並繳回執照	By when must a business closure be filed, and what is filed?	Within 15 days of closure, apply to the authority to revoke the licence	Within 7 days of closure, report to the authority and publish the closure	Within 15 days of closure, apply to the central authority to cancel the permit	Within 30 days of closure, file a suspension and surrender the licence	a	第10條：歇業時應於歇業日起十五日內，向主管機關申報廢止許可執照。若未申報，第7條第1款亦定歇業為主管機關得廢止許可執照之事由。	Article 10: 15 days, revocation of the licence.	draft	14		
ENV-4182	ENV	ENV-220	環境用藥販賣業及病媒防治業許可執照申請核發作業準則	第11條	民國113年3月11日	環境用藥-審查期限	3	地方主管機關受理許可執照申請，文件齊備者應於多久內完成審查？得否延長？	應於六十日內完成審查；內容複雜特殊者得逕行延長，延長期間並無上限	應於四十五日內完成審查；內容複雜特殊者得通知申請者後延長，不逾四十五日	應於九十日內完成審查；內容複雜特殊者得延長一次，不逾一百八十日	應於三十日內完成審查；內容複雜特殊者得通知申請者後延長，不逾三十日	How long does the local authority have to complete the review, and may it extend?	Within 60 days; complex cases may be extended at will with no cap on the extension	Within 45 days; complex cases may be extended after notice by no more than 45 days	Within 90 days; complex cases may be extended once by no more than 180 days	Within 30 days; complex cases may be extended after notice by no more than 30 days	b	第11條第1項第3款：應檢具之文件及資料齊備者，應於四十五日內完成審查；但內容複雜特殊者，得於通知申請者後延長之，延長期間不得逾四十五日。	Article 11, paragraph 1, subparagraph 3.	draft	14		
ENV-4183	ENV	ENV-220	環境用藥販賣業及病媒防治業許可執照申請核發作業準則	第11條	民國113年3月11日	環境用藥-補正期限	3	許可執照申請之補正期間、補正日數之計算及審查合格後之通知期限為何？	補正期間以六十日為限，補正日數應算入審查期間；合格者於核發執照後十四日內通知	補正期間以六十日為限，補正日數不算入審查期間；合格者於完成審查後十四日內通知	補正期間以三十日為限，補正日數應算入審查期間；合格者於完成審查後三十日內通知	補正期間以九十日為限，補正日數不算入審查期間；合格者於完成審查後七日內通知	What is the correction period, is it counted in the review clock, and when is notice given?	Capped at 60 days, counted in the review period; notice within 14 days of issuance	Capped at 60 days, not counted in the review period; notice within 14 days of completion	Capped at 30 days, counted in the review period; notice within 30 days of completion	Capped at 90 days, not counted in the review period; notice within 7 days of completion	b	第11條第1項第4款及第2項：補正期間以六十日為限，補正日數不算入審查期間內；地方主管機關審查符合規定者，應於完成審查後十四日內通知申請者。未繳費者逕予駁回退件，補正不完全者亦駁回退件。	Article 11, paragraph 1, subparagraph 4, and paragraph 2.	draft	14		
ENV-4184	ENV	ENV-220	環境用藥販賣業及病媒防治業許可執照申請核發作業準則	第12條	民國113年3月11日	環境用藥-施行日期	1	環境用藥販賣業及病媒防治業許可執照申請核發作業準則之施行日期為何？	自中華民國一百十三年三月十一日施行	自發布日施行，未另訂特定之施行日期	自發布後三個月施行，並溯及既往適用	自中華民國一百零九年一月十六日施行	When do these licence regulations take effect?	On March 11 of the Republic of China year 113 (2024)	On the date of promulgation, with no separate effective date set	Three months after promulgation, applying retroactively	On January 16 of the Republic of China year 109 (2020)	b	第12條：本準則自發布日施行。本準則最近修正日期為民國113年3月11日，但施行日仍依發布日認定。	Article 12.	draft	14		
ENV-4185	ENV	ENV-221	毒性及關注化學物質事故調查處理報告作業準則	第1條	民國109年1月16日	毒化物-授權依據	1	毒性及關注化學物質事故調查處理報告作業準則之訂定依據為何？	依毒性及關注化學物質管理法第五十八條第一款規定訂定	依毒性及關注化學物質管理法施行細則第四十一條規定訂定	依毒性及關注化學物質管理法第四十一條第五項規定訂定	依毒性及關注化學物質管理法第二十四條第一項規定訂定	Under which provision are the accident report regulations enacted?	Under Article 58, subparagraph 1 of the Toxic and Concerned Chemical Substances Act	Under Article 41 of the Enforcement Rules of that same Act	Under Article 41, paragraph 5 of the Toxic and Concerned Chemical Substances Act	Under Article 24, paragraph 1 of the Toxic and Concerned Chemical Substances Act	c	第1條：本準則依毒性及關注化學物質管理法第四十一條第五項規定訂定。本法第四十一條第一項並為中央主管機關指定公告具危害性關注化學物質之依據。	Article 1.	draft	14		
ENV-4186	ENV	ENV-221	毒性及關注化學物質事故調查處理報告作業準則	第2條	民國109年1月16日	毒化物-速報結報	3	毒性及具危害性關注化學物質運作人於事故發生後，應於何期限內提報速報及結報？	應於事故發生後七日內提報速報，並於事故發生後三十日內提報結報	應於事故發生後三日內提報速報，並於事故發生後十四日內提報結報	應於事故發生後三日內提報速報，並於事故發生後三十日內提報結報	應於事故發生後一日內提報速報，並於事故發生後七日內提報結報	Within what periods must the preliminary and final accident reports be filed?	The preliminary report within seven days, and the final report within thirty days	The preliminary report within three days, and the final report within fourteen days	The preliminary report within three days, and the final report within thirty days	The preliminary report within one day, and the final report within seven days	b	第2條第1項：運作人應於事故發生後三日內依第3條提報初步事故調查處理速報，並於事故發生後十四日內依第4條提報總結事故調查處理結報。	Article 2, paragraph 1.	draft	14		
ENV-4187	ENV	ENV-221	毒性及關注化學物質事故調查處理報告作業準則	第2條	民國109年1月16日	毒化物-報請機關	3	速報及結報應報請何機關備查？並應副知何機關？	報請事故發生所在地之直轄市、縣（市）主管機關備查，並副知中央主管機關	報請環境事故專業應變諮詢機關備查，並副知目的事業主管機關及警察機關	報請運作人登記所在地之直轄市、縣（市）主管機關備查，並副知消防機關	報請中央主管機關備查，並副知事故發生所在地之直轄市、縣（市）主管機關	To which authority are the reports filed, and who gets a copy?	Filed for record with the municipal or county authority where the accident occurred, copied to the centre	Filed with the professional emergency advisory body, copied to sector and police authorities	Filed with the municipal or county authority where the operator is registered, copied to the fire service	Filed for record with the central authority, copied to the municipal or county authority of the site	a	第2條第1項：速報及結報應報請事故發生所在地之直轄市、縣（市）主管機關備查，並副知中央主管機關。第2項並定自110年7月1日起應於中央主管機關指定網站填報。	Article 2, paragraph 1.	draft	14		
ENV-4188	ENV	ENV-221	毒性及關注化學物質事故調查處理報告作業準則	第2條	民國109年1月16日	毒化物-網路填報	2	速報及結報自何時起應於中央主管機關指定之網站填報？	自中華民國一百十年七月一日起，於中央主管機關指定之網站填報	自本準則發布日起，即應於中央主管機關指定之網站以電子方式填報	自中華民國一百十一年一月一日起，於地方主管機關指定之網站填報	自中華民國一百零九年一月十六日起，於中央主管機關指定之網站填報	From when must the reports be filed on the designated website?	From July 1 of the Republic of China year 110, on the central authority website	From the promulgation date of these regulations, electronically on that website	From January 1 of the Republic of China year 111, on the local authority website	From January 16 of the Republic of China year 109, on the central authority website	a	第2條第2項：前項速報及結報，應自中華民國一百十年七月一日起於中央主管機關指定之網站填報；在此之前得以書面方式提報。	Article 2, paragraph 2.	draft	14		
ENV-4189	ENV	ENV-221	毒性及關注化學物質事故調查處理報告作業準則	第3條	民國109年1月16日	毒化物-速報內容	2	運作人製作速報時，其事故發生基本資料應包括下列何者？	廠商統一編號、負責人、股東結構、營業額及化學物質年運作量	事故現場土壤與地下水採樣結果、鄰近居民健康檢查及賠償金額	廠商名稱、地點、發生時間、氣象、事故場所及類型、化學物質名稱	廠商名稱、地點、發生時間、傷亡人數、事故場所及類型、化學物質名稱	What basic data must the preliminary report contain?	Firm tax number, responsible person, shareholding, revenue and annual throughput	Soil and groundwater sampling results, resident health checks and compensation paid	Firm name, location, time, weather, site and accident type, and substance names	Firm name, location, time, casualties, site and accident type, and substance names	d	第3條第1款：速報之事故發生基本資料包括廠商名稱、地點、發生時間、傷亡人數、事故場所及類型、毒性及具危害性關注化學物質名稱；結報則另增列氣象一項。	Article 3, subparagraph 1 (weather appears only in the final report).	draft	14		
ENV-4190	ENV	ENV-221	毒性及關注化學物質事故調查處理報告作業準則	第3條	民國109年1月16日	毒化物-速報項目	2	除事故發生基本資料外，速報尚應記載下列何組事項？	應變單位分工及裝（設）備、事故應變及善後復原過程（含現場照片）	運作人年度運作紀錄、釋放量申報表及專業技術管理人員名冊	事故責任歸屬鑑定報告、保險理賠明細及主管機關裁處書影本	應變單位分工及裝（設）備、事故應變過程（含廠周界現場平面圖）	Besides basic data, what else must the preliminary report record?	Response units, roles and equipment, and the response and recovery process with photos	Annual operating records, release quantity filings, and the technical staff roster	A liability assessment report, insurance claim details and copies of penalty notices	Response units, roles and equipment, and the response process with a site boundary plan	a	第3條第2款至第6款：速報應載明應變單位、分工及裝（設）備，事故發生、應變及善後復原過程（含現場照片），環境污染及清理狀況，檢討及改善，建議事項；廠周界現場平面圖為結報才要求。	Article 3, subparagraphs 2 to 6.	draft	14		
